Nanoseconds,Millivolts
542440045,1068.5625
551575581,1069.6875
553391563,1069.875
555512596,1069.5
558012638,1068.9375
561581374,1070.0625
564704382,1070.0625
567202080,1068.75
572203414,1068.1875
575889649,1068.375
581461554,1068.0
585061331,1067.25
588623765,1067.0625
592646352,1067.25
596010662,1067.4375
599077681,1068.0
602185689,1067.625
605440259,1068.9375
614444129,1069.125
617128076,1069.5
620182179,1070.25
623469457,1070.4375
627284702,1070.625
630467866,1071.1875
633567958,1069.875
636708257,1071.0
639676735,1071.375
642795056,1070.625
645913272,1071.375
649066593,1071.75
652050539,1070.4375
654989954,1071.1875
657976557,1070.4375
661501855,1070.625
664446531,1072.5
668007089,1071.75
671299628,1070.625
674447324,1070.8125
677482311,1070.8125
680447820,1069.5
683232653,1070.25
686000558,1070.4375
688733568,1068.9375
691493505,1070.8125
694632554,1070.0625
697359366,1069.125
700065449,1066.6875
703476008,1069.125
706282924,1068.0
708996819,1067.625
711802693,1068.1875
714576276,1068.1875
717309754,1067.25
720065889,1067.0625
722799680,1065.375
725547950,1066.5
728681427,1066.6875
731411208,1066.3125
734157342,1065.5625
737572902,1065.75
740308359,1065.1875
743038036,1065.5625
745804795,1065.9375
748566920,1064.25
751348262,1064.8125
754132991,1064.625
756854334,1064.0625
759583073,1064.8125
762599832,1065.0
765340289,1065.75
768085122,1065.9375
771480681,1066.125
774254420,1067.8125
776981648,1065.9375
779709814,1068.0
782442147,1066.875
785249948,1067.8125
787986552,1068.375
790728259,1068.375
793461894,1070.0625
796332872,1068.375
799075726,1067.8125
801756861,1068.75
805196378,1068.75
807928867,1067.0625
810651877,1067.0625
813380512,1068.1875
816133521,1067.8125
818883093,1067.8125
821658916,1067.4375
824414165,1068.75
827151654,1067.8125
830007736,1069.5
832736944,1068.9375
835519224,1070.0625
838905460,1069.6875
841628783,1069.3125
844368199,1070.25
847103761,1071.75
849835312,1071.75
852559468,1071.9375
855363519,1071.75
858113039,1071.0
860861257,1071.375
863735933,1072.6875
866486599,1071.0
869180911,1072.125
872609595,1072.125
875330626,1072.5
878123479,1073.0625
880609562,1072.125
883088667,1072.875
885775635,1073.8125
888227292,1074.375
890956812,1074.75
893437167,1074.75
895930178,1075.875
899084488,1074.75
901599061,1075.5
905253473,1073.4375
907721276,1072.3125
910930690,1072.6875
913960105,1070.4375
916795979,1070.4375
919693623,1071.75
922296581,1069.5
925134643,1070.25
927913277,1068.75
931011807,1070.0625
933720025,1069.125
936475586,1068.0
939559741,1068.9375
942268532,1067.8125
944991333,1067.8125
947687208,1068.5625
950382145,1067.625
953087498,1067.0625
955803581,1067.25
958507320,1064.8125
961203195,1066.3125
964229433,1064.8125
967423534,1068.375
970086701,1068.0
972922210,1069.125
975434700,1071.0
977917815,1071.9375
980335982,1072.125
982815295,1072.3125
985261170,1075.875
987705379,1078.125
990152349,1078.5
992628224,1080.5625
995097120,1080.0
997544819,1081.3125
1000425119,1079.625
1002890630,1080.75
1005998795,1082.0625
1008448212,1080.75
1010917629,1080.75
1013348869,1080.375
1015814432,1080.0
1018258068,1081.3125
1020710714,1082.25
1023159194,1081.6875
1025625799,1082.625
1028078601,1082.625
1030596977,1082.0625
1033645766,1083.375
1036611640,1083.375
1039884231,1084.3125
1042341721,1086.0
1044831711,1084.875
1047264617,1085.8125
1049717837,1086.75
1052165535,1086.0
1054668285,1086.0
1057088067,1085.4375
1059533474,1085.25
1061984975,1085.25
1064566318,1083.5625
1069014946,1083.1875
1073020138,1082.625
1077825171,1081.125
1080515368,1079.25
1083167597,1079.0625
1085871388,1077.9375
1088543825,1075.6875
1091210481,1075.5
1093908491,1074.5625
1096554939,1071.9375
1099308782,1073.25
1102721529,1074.375
1106070734,1076.0625
1109102232,1075.125
1111774669,1076.8125
1114522054,1076.8125
1117211262,1077.0
1119863334,1077.0
1122522646,1077.1875
1125200240,1077.5625
1127863406,1077.9375
1130525166,1077.1875
1133215936,1079.625
1136548058,1079.0625
1139535286,1079.8125
1142316160,1081.3125
1145181253,1080.1875
1147842023,1080.1875
1150492950,1080.9375
1153167522,1080.375
1155828241,1079.8125
1158555521,1079.25
1161468687,1081.125
1164161020,1080.5625
1166929706,1082.0625
1170277349,1081.3125
1172973224,1081.3125
1175808629,1082.4375
1178470805,1081.125
1181135795,1082.625
1183795576,1082.625
1186478586,1083.9375
1189150189,1084.875
1191802522,1083.75
1194473814,1084.5
1197132240,1084.125
1199792959,1083.75
1202843519,1083.75
1205556113,1083.5625
1208317091,1083.75
1211359110,1084.125
1214079828,1084.6875
1216727890,1084.3125
1219391682,1083.375
1222050681,1082.625
1224771816,1082.8125
1227419618,1081.125
1230078930,1081.125
1232757982,1080.5625
1235852657,1081.875
1238521813,1081.6875
1241185187,1081.6875
1244063144,1080.9375
1247068705,1080.9375
1249981089,1080.5625
1252890244,1080.75
1255810545,1080.0
1258710637,1079.4375
1261627084,1079.4375
1264550405,1077.1875
1267465810,1076.4375
1270757203,1075.5
1273657920,1074.9375
1276637752,1075.6875
1279964301,1074.0
1282885487,1074.5625
1285819330,1075.6875
1288732078,1075.875
1291652952,1076.0625
1294570805,1075.5
1297482199,1076.8125
1300379166,1077.0
1303284415,1078.6875
1306338621,1079.8125
1309234339,1078.125
1312364483,1079.25
1315381762,1079.25
1318296750,1079.625
1321199968,1079.8125
1324132300,1079.0625
1327047392,1079.25
1329964620,1078.875
1332870233,1077.9375
1335801159,1079.0625
1339090468,1077.9375
1341989727,1077.9375
1344968413,1077.375
1348204338,1078.5
1351179273,1078.125
1354155407,1076.4375
1357070916,1076.8125
1360000019,1077.1875
1362943445,1076.0625
1365873120,1076.8125
1368793681,1075.875
1372094658,1075.5
1375016000,1074.9375
1377932759,1075.875
1381225506,1076.4375
1384308410,1075.5
1386634963,1074.9375
1389031881,1074.0
1391432704,1074.5625
1393824778,1075.125
1396297685,1073.625
1398698456,1074.0
1401100686,1073.25
1403522708,1072.5
1406581914,1071.5625
1408979404,1072.5
1411388769,1071.9375
1414209071,1069.3125
1416618905,1070.25
1419024416,1070.4375
1421434354,1070.0625
1423841532,1069.3125
1426323553,1069.6875
1428724533,1071.375
1431130565,1071.75
1433533055,1071.375
1435968983,1071.75
1438359494,1071.0
1441388336,1072.6875
1443790826,1071.375
1446254983,1071.9375
1448990961,1071.1875
1451396524,1071.9375
1453807087,1071.75
1456226401,1071.75
1458623474,1071.9375
1461026173,1072.875
1463537829,1071.9375
1465980632,1072.5
1468368383,1072.6875
1470777956,1072.5
1473803777,1071.5625
1476222413,1071.375
1478627872,1072.125
1481426663,1072.5
1483826601,1070.8125
1486288571,1069.6875
1488694030,1069.125
1491099124,1069.5
1493505781,1068.75
1495946136,1067.8125
1498351699,1068.0
1500781897,1069.3125
1503194231,1068.0
1505618961,1068.9375
1508991343,1069.125
1511497114,1069.6875
1514466582,1069.125
1516910270,1069.3125
1519309322,1070.25
1521711240,1070.4375
1524140917,1069.5
1526540022,1069.875
1528947929,1069.3125
1531367659,1070.0625
1533751035,1068.75
1536226233,1069.3125
1539864812,1068.375
1542658968,1067.625
1545094791,1068.5625
1548127539,1068.375
1550536384,1066.6875
1552950801,1066.6875
1555374020,1066.5
1557771823,1065.375
1563732111,1065.9375
1567311732,1065.9375
1573130355,1068.1875
1581062979,1069.125
1585266972,1069.6875
1588695865,1070.8125
1591972570,1071.5625
1595010162,1069.6875
1597901192,1071.375
1600798003,1070.25
1604492415,1070.25
1607378185,1072.125
1611406658,1072.5
1614443313,1074.75
1617491946,1075.3125
1620176466,1075.5
1622850831,1076.625
1625611549,1075.875
1628727109,1077.375
1631839180,1075.6875
1634912761,1074.75
1638026603,1076.4375
1640859768,1075.125
1643472778,1076.25
1646157820,1076.0625
1649231036,1073.625
1652513992,1076.25
1655177783,1075.875
1657787408,1076.25
1660407033,1077.0
1663032126,1075.5
1665672480,1077.1875
1668287105,1077.1875
1671390218,1076.8125
1674072707,1076.8125
1676653738,1077.75
1679280290,1077.5625
1682012883,1077.9375
1685089277,1079.4375
1687726662,1080.9375
1690364308,1080.375
1692966224,1079.625
1695632099,1079.625
1698248755,1079.625
1700880046,1080.5625
1703507327,1079.4375
1706197525,1078.875
1708822931,1079.25
1711457764,1079.0625
1714124524,1077.0
1717107376,1076.0625
1720114291,1077.375
1722733708,1078.125
1725421249,1076.0625
1728032436,1077.0
1730647842,1076.25
1733267884,1075.125
1735904800,1076.0625
1738518331,1076.625
1741567330,1076.25
1744218204,1075.875
1746849964,1075.875
1749584328,1076.0625
1752609160,1075.125
1755245608,1074.375
1757864034,1074.1875
1760499805,1074.1875
1763108076,1074.1875
1765752700,1072.6875
1768370971,1073.625
1770987419,1072.5
1773609387,1073.0625
1776253543,1073.0625
1779247542,1073.4375
1781874094,1072.5
1784904758,1072.875
1787908236,1071.375
1790545048,1070.8125
1793151860,1071.9375
1795805860,1072.3125
1798408506,1071.5625
1801029329,1073.25
1803649162,1072.5
1806293214,1072.125
1808909870,1073.8125
1811529182,1073.0625
1814171567,1074.0
1817340721,1074.0
1819955971,1072.875
1822608408,1072.6875
1825232095,1073.625
1827866251,1074.0
1830475720,1073.4375
1833094147,1073.8125
1835734709,1073.0625
1838346105,1072.6875
1840965000,1072.3125
1843580667,1072.125
1846221229,1069.125
1848847416,1070.8125
1851836831,1071.0
1855351244,1070.0625
1857981182,1070.0625
1860606744,1070.625
1863244025,1069.3125
1865883545,1070.8125
1868504889,1070.8125
1871142951,1070.25
1873766847,1070.4375
1876401836,1070.8125
1879166044,1070.0625
1881799314,1070.8125
1884550084,1069.5
1887543614,1068.1875
1890171520,1068.375
1892821093,1068.75
1895519728,1068.1875
1898159040,1068.0
1900758613,1068.9375
1903396102,1068.0
1906035727,1066.875
1908640768,1068.1875
1911253258,1067.625
1913982674,1067.25
1916503653,1068.0
1919530151,1066.6875
1922804044,1066.125
1925549450,1066.3125
1928182981,1067.25
1930805158,1065.9375
1933441293,1066.3125
1936065345,1067.25
1938676220,1068.5625
1941300428,1067.0625
1943957761,1067.625
