Nanoseconds,Millivolts
586503825,677.3645
621478736,677.3645
655731462,677.3645
690223874,677.6679
724394101,676.15125
758461150,676.15125
792361794,675.5445
826106554,675.84784
859795063,675.84784
893515917,677.0612
927382550,675.84784
961438558,675.84784
995713003,675.2411
1029553700,675.2411
1063197053,675.2411
1097755559,676.15125
1131480006,676.15125
1165310077,677.3645
1199018118,675.5445
1232495014,675.5445
1266339512,675.2411
1300404114,675.2411
1334758611,675.2411
1368740504,675.84784
1402605211,675.84784
1436231898,676.15125
1469837648,675.5445
1503455116,675.5445
1537093261,675.2411
1571975516,675.84784
1610619266,675.84784
1644334546,677.3645
1678231284,676.15125
1711931408,676.15125
1745564970,675.5445
1779497853,675.5445
1813346310,674.93787
1846821487,675.2411
1880900047,675.2411
1914446839,676.4545
1947974099,675.84784
1981807191,675.84784
2015382055,675.84784
2049447647,675.2411
2083186729,675.2411
2116857738,675.5445
2150368540,675.5445
2183955071,676.4545
2217510092,675.84784
2251775474,675.84784
2285695389,675.2411
2319532023,675.84784
2352846732,675.84784
2386393523,675.84784
2419676670,675.84784
2453393408,677.0612
2487418375,675.84784
2520982562,675.84784
2554642217,675.84784
2588501664,675.5445
2622046736,675.5445
2656114151,677.0612
2690020055,676.4545
2723460753,676.4545
2757182127,675.84784
2790885793,675.84784
2824462897,675.5445
2857997605,676.15125
2891831687,676.15125
2925668112,677.0612
2959456257,676.4545
2993250860,676.4545
3027081869,675.5445
3060938659,675.5445
3094507638,675.2411
3127874586,675.84784
3161435127,675.84784
3195691864,676.4545
3231034533,676.4545
3264618668,676.4545
3298527177,675.84784
3332320894,674.93787
3365991279,674.93787
3400183536,675.5445
3434320013,675.5445
3468504250,676.4545
3502420519,675.5445
3536599078,675.5445
3570427171,674.93787
3604115211,674.3311
3638115543,674.3311
3671869156,675.2411
3705558655,676.15125
3739064353,676.15125
3773270933,675.5445
3806820277,675.5445
3840462328,674.93787
3874140057,674.3311
3907956951,674.3311
3941641034,676.15125
3975481053,676.4545
4009298468,676.4545
4043127290,676.4545
4076950799,676.4545
4110639829,674.93787
4144435890,675.5445
4178125181,675.5445
4212013638,677.0612
4245836313,675.84784
4279662843,675.84784
4313506404,675.84784
4347123456,674.93787
4380837174,674.93787
4414755057,675.84784
4448868200,675.84784
4482803376,676.15125
4516742353,675.84784
4550452685,675.84784
4584148174,675.2411
4617772569,675.2411
4651589880,675.2411
4685383546,675.84784
4719491481,675.84784
4752922908,676.4545
4786796052,676.15125
4820704196,676.15125
4854058697,675.5445
4887979705,674.3311
4921770298,674.3311
4955890212,675.84784
4989708825,676.7578
5023255721,676.7578
5057082459,676.15125
5091659663,676.15125
5125622546,675.5445
5159571627,675.5445
5193338053,675.5445
5227476301,675.84784
5261597308,676.4545
5295732222,676.4545
5329840626,675.84784
5363983717,674.3311
5398155089,674.3311
5431898286,675.5445
5465853149,675.5445
5499985771,676.15125
5533495583,676.4545
5567602998,676.4545
5601415725,675.84784
5635313244,674.93787
5668928265,674.93787
5702393181,676.15125
5736247159,677.3645
5770176449,677.3645
5803996000,675.84784
5837288000,675.84784
5870832760,675.5445
5904226792,675.5445
5938075874,675.5445
5971917299,675.84784
6005459091,676.15125
6038739321,676.15125
6072412622,675.5445
6105964830,675.5445
6139500059,675.5445
6173306693,675.2411
6206792703,675.2411
6240090277,675.5445
6273934776,676.7578
6307203756,676.7578
6341059869,675.84784
6374378484,675.84784
6408231107,675.84784
6441996492,676.15125
6475507502,676.15125
6508832992,676.4545
6542679782,677.0612
6576556468,677.0612
6610221801,676.15125
6644038955,676.15125
6677698246,675.2411
6711389673,675.5445
6744925162,675.5445
6778479662,676.4545
6812064838,676.4545
6845638921,676.4545
6879179410,675.84784
6912514588,674.93787
6946367160,674.93787
6980363793,675.84784
7014274958,675.84784
7048166435,677.0612
7082002809,675.84784
7115740485,675.84784
7149634931,675.84784
7183575523,675.2411
7217421011,675.2411
7251178947,676.15125
7284755739,676.15125
7318521175,676.4545
7352283799,675.5445
7386277724,675.5445
7420044410,674.93787
