Nanoseconds,Millivolts
546223571,989.8125
551158239,989.4375
552757451,990.375
554143227,987.375
556105302,990.375
558737740,989.0625
562235798,987.75
565388650,987.9375
568992906,988.5
574067886,987.5625
578964741,987.375
583230245,987.9375
586860282,990.1875
590717506,989.8125
594036972,987.0
597281542,987.9375
600418665,989.625
603499694,987.9375
606720202,990.1875
615406937,990.5625
618438956,987.1875
621650298,987.5625
625364137,987.75
628689852,989.8125
631776507,990.1875
635019514,987.1875
638014971,990.5625
641033709,990.0
644223904,987.375
647412850,988.5
650356119,990.375
653317149,987.9375
656299324,988.6875
659832331,990.0
662812319,987.5625
665861577,987.1875
669313699,987.75
672961705,990.375
676045650,989.8125
679018711,988.5
681896460,991.3125
684670147,988.5
687412011,990.375
690137052,987.1875
692945009,990.0
696043434,987.1875
698773059,990.1875
702151274,988.3125
704959231,989.8125
707680470,988.125
710428741,989.8125
713234406,987.5625
715987572,989.4375
718736571,987.9375
721474998,990.1875
724219570,987.5625
727018048,989.25
730088557,987.75
732820837,989.0625
736250355,989.8125
738980448,989.25
741712520,987.9375
744483030,989.0625
747226144,987.75
750012070,988.6875
752752840,987.9375
755535798,988.6875
758255474,987.75
760859891,990.5625
763739983,988.875
766534347,988.3125
769903500,987.75
772633749,988.5
775406394,987.9375
778134352,989.8125
780858664,989.4375
783604747,990.1875
786403173,989.8125
789138787,990.375
791876536,987.1875
794617671,990.375
797471253,986.8125
800208481,990.5625
803599093,987.5625
806348352,990.375
809074539,988.5
811798226,990.0
814541809,987.375
817274662,990.375
820059964,987.9375
822814588,990.5625
825568535,987.375
828297743,990.1875
831158825,988.125
833940689,990.5625
837314633,987.75
840052331,990.5625
842774924,987.5625
845519184,990.75
848254693,988.3125
850983016,989.4375
853712744,987.75
856525806,990.1875
859260795,987.5625
862016929,990.0
864904366,986.8125
867632167,990.375
870998976,987.5625
873735372,989.25
876530464,987.9375
879273318,989.4375
881755391,989.25
884252829,987.9375
886904329,989.625
889367808,987.375
892125037,990.5625
894600600,987.375
897742774,990.9375
900226723,987.9375
902802337,989.0625
906375656,988.3125
908935073,987.9375
912113029,990.375
915067340,988.125
917930141,989.625
920727056,987.375
923443920,990.0
926310055,989.4375
929051606,989.625
932156385,988.125
934892051,988.5
937989382,988.5
940692601,989.625
943411131,989.4375
946128047,989.0625
948822672,989.8125
951522661,987.75
954235306,990.75
956934202,987.5625
959635857,990.9375
962718501,988.125
965845468,990.5625
968567644,987.0
971602267,991.5
974111945,988.3125
976559643,989.0625
979015258,988.6875
981471654,988.125
