Nanoseconds,Millivolts
552773337,1006.6875
555006505,1006.3125
557529515,1005.9375
561088511,1005.5625
564249176,1006.3125
568349315,1006.875
573561378,1006.5
578294327,1006.125
582596549,1006.5
586315180,1005.9375
589438657,1005.9375
593809889,1006.5
596751127,1007.0625
599757469,1005.5625
602884332,1006.125
606010673,1005.5625
614822929,1005.375
617811771,1005.9375
620972227,1006.125
624326381,1006.3125
628013501,1006.5
631168176,1005.75
634352121,1006.3125
637379036,1006.3125
640608710,1006.5
643472345,1005.9375
646814831,1005.375
649728465,1005.375
652679235,1006.125
655672920,1007.0625
658651658,1006.125
662177686,1006.875
665684026,1005.9375
668537191,1006.3125
671884469,1006.125
675004665,1005.5625
678035747,1006.3125
680995839,1006.125
683767025,1006.3125
686535921,1006.3125
689270701,1005.75
692012357,1006.5
695161771,1006.3125
697900510,1006.5
701278569,1005.9375
704071475,1006.3125
706808807,1006.5
709530567,1005.75
712334827,1006.125
715104972,1006.125
717861835,1006.5
720603856,1006.875
723332751,1006.6875
726083104,1006.125
729216477,1005.75
731948497,1005.9375
735368640,1006.6875
738110764,1005.1875
740844659,1006.125
743572721,1005.75
746341095,1006.6875
749117907,1005.9375
751880552,1006.5
754652676,1006.875
757386051,1005.9375
760121456,1006.3125
763121913,1005.9375
765911276,1005.9375
769286367,1006.125
772015314,1006.125
774792022,1006.5
777517167,1005.9375
780242156,1005.75
782976416,1006.875
785783227,1006.875
788537852,1006.5
791258101,1005.9375
794046892,1005.75
796857401,1006.125
799688952,1006.125
802984043,1005.75
805732886,1005.75
808460427,1005.75
811182343,1006.6875
813959780,1006.3125
816658832,1005.375
819424862,1006.3125
822190684,1006.5
824962913,1005.1875
827684256,1005.75
830544192,1005.9375
833364493,1006.125
836703907,1006.5
839434469,1006.6875
842161281,1005.9375
844901686,1006.3125
847637717,1006.3125
850369060,1005.9375
853093007,1005.5625
855891798,1006.125
858647724,1005.75
861413755,1005.9375
864285774,1005.9375
867107221,1007.0625
870381791,1006.3125
873117457,1005.9375
875864894,1006.125
878660195,1006.125
881140862,1006.875
883621477,1006.5
886288810,1006.875
888754530,1005.5625
891488685,1006.125
894041487,1006.125
897144027,1006.6875
899613444,1006.5
902158225,1006.5
905753784,1005.9375
908256899,1005.9375
911445844,1006.3125
914445103,1006.6875
917318841,1006.6875
920123101,1005.9375
922827048,1005.75
925676203,1005.75
928443275,1006.6875
931542690,1006.125
934288200,1005.9375
936990220,1005.75
940085884,1006.125
942800353,1005.9375
945519977,1005.9375
948213612,1005.9375
950913288,1006.875
953611403,1006.125
956334517,1005.9375
959028881,1005.375
962098660,1005.9375
965230366,1006.3125
967977594,1006.3125
970609615,1006.125
973450176,1005.5625
975960375,1006.125
978407813,1006.3125
980863584,1006.5
983329251,1006.125
985789189,1005.75
988238815,1005.375
990724690,1005.9375
993155461,1005.75
995623889,1006.5
998069504,1005.375
1000982201,1006.125
1003417607,1005.9375
1006570459,1006.6875
1008975918,1006.3125
1011427887,1006.125
1013921836,1006.3125
1016342607,1005.5625
1018790670,1006.125
1021239514,1006.3125
1023690130,1006.125
1026155953,1006.6875
1028607766,1005.9375
1031092391,1006.6875
1034682898,1005.1875
1037132002,1006.3125
1040412874,1005.9375
1042871354,1005.5625
1045343636,1006.125
1047797584,1006.6875
1050248303,1006.125
1052699231,1006.3125
1055171356,1006.6875
1057619523,1005.75
1060063576,1006.5
1062542472,1005.5625
1065209389,1006.3125
1069692131,1006.125
1074746746,1005.75
1078466054,1006.6875
1081128439,1007.25
1083777751,1006.875
1086515084,1006.6875
1089158198,1005.9375
1091815948,1005.5625
1094520155,1006.3125
1097159155,1006.3125
1099978519,1006.5
1104054492,1006.875
1106670627,1005.9375
1109737802,1005.75
1112384719,1005.9375
1115127155,1006.3125
1117804436,1005.5625
1120472655,1006.3125
1123132383,1006.3125
1125807841,1006.125
1128474029,1006.3125
1131131570,1005.5625
1133817705,1005.9375
1137470034,1006.5
1140135856,1005.75
1142942095,1006.3125
1145781615,1006.125
1148434885,1005.375
1151093104,1005.75
1153749968,1006.125
1156439332,1005.9375
1159276873,1006.3125
1162079153,1006.125
1164774142,1005.9375
1167532360,1005.5625
1170888909,1005.75
1173582700,1005.9375
1176422376,1006.125
1179101949,1006.5
1181743396,1005.1875
1184427917,1006.3125
1187080406,1006.3125
1189745864,1005.9375
1192412051,1006.3125
1195077145,1005.9375
1197738800,1005.75
1200401394,1006.5
1203448517,1006.3125
1206176579,1005.5625
1209268754,1006.125
1211964420,1006.5
1214717065,1005.75
1217334867,1005.9375
1219998658,1005.9375
1222703543,1005.75
1225368064,1006.3125
1228027792,1007.0625
1230728823,1005.9375
1233362406,1006.875
1236467498,1006.3125
1239130716,1005.75
1241794924,1005.75
1244990068,1006.125
1247918077,1006.125
1250843846,1005.9375
1253735553,1006.5
1256661739,1006.125
1259554071,1006.3125
1262479997,1006.875
1265406391,1006.5
1268311119,1005.9375
1271604752,1006.3125
1274523802,1005.5625
1277816341,1006.6875
1280816798,1005.5625
1283733505,1006.6875
1286676774,1006.3125
1289591450,1006.3125
1292502480,1005.75
1295429134,1006.3125
1298326883,1006.6875
1301226663,1006.125
1304278109,1006.3125
1307182472,1006.3125
1310080794,1005.9375
1313228854,1006.125
1316236706,1006.5
1319146747,1005.9375
1322044339,1005.9375
1324985890,1006.5
1327893534,1006.6875
1330813939,1006.3125
1333717990,1005.9375
1336654436,1006.125
1339935517,1006.875
1342841859,1005.75
1346148929,1005.75
1349090011,1006.125
1352034218,1006.5
1355013373,1006.125
1357935132,1005.75
1360854547,1006.5
1363793024,1005.75
1366728846,1006.125
1369651074,1005.9375
1372943925,1006.125
1375868132,1005.75
1378825099,1005.75
1382072378,1006.875
1385282833,1006.875
1387834229,1006.6875
1390232970,1006.3125
1392630616,1006.6875
1395104981,1006.3125
1397495388,1005.5625
1399901160,1006.5
1402302556,1006.125
1404756348,1005.9375
1407779930,1006.3125
1410182681,1006.5
1412648348,1006.3125
1415422555,1006.3125
1417818900,1006.3125
1420229827,1006.5
1422638776,1006.3125
1425112516,1006.875
1427520058,1006.6875
1429927444,1005.5625
1432330664,1005.0
1434755758,1005.9375
1437157155,1005.75
1440185788,1005.9375
1442587810,1006.125
1445003686,1006.3125
1447789351,1006.875
1450195800,1007.0625
1452604957,1006.875
1455023697,1006.5
1457437437,1006.875
1459824511,1006.875
1462328824,1006.3125
1464760637,1006.6875
1467169065,1006.3125
1469567128,1005.75
1471980347,1005.5625
1475021897,1007.0625
1477420273,1006.125
1479879794,1006.6875
1482628794,1006.5
1485079617,1005.75
1487494399,1006.3125
1489911264,1006.125
1492301932,1005.75
1494746297,1007.25
1497138891,1005.75
1499578777,1005.9375
1501987413,1006.3125
1504416883,1006.6875
1507799682,1006.3125
1510198161,1006.5
1512616433,1005.9375
1515675431,1005.9375
1518093963,1006.125
1520512026,1006.125
1522952068,1005.75
1525345027,1006.3125
1527744080,1005.9375
1530148341,1006.3125
1532550102,1006.875
1535020509,1006.6875
1537499197,1005.9375
1541445535,1006.125
1543926046,1006.125
1546304526,1006.3125
1549329670,1007.0625
1551747108,1006.5
1554175067,1006.3125
1556584276,1006.5
1558975099,1006.3125
1565078096,1006.3125
1570953593,1006.125
1578963092,1005.9375
1583155939,1007.4375
1586571863,1006.5
1589911224,1006.125
1593017826,1006.3125
1596467083,1006.125
1599382019,1006.3125
1602976067,1006.6875
1605936784,1006.5
1609882133,1006.3125
1612829048,1006.875
1615682526,1006.125
1618671993,1006.3125
1621345420,1005.9375
1624071294,1006.3125
1626844617,1007.25
1630033510,1006.6875
1633245580,1006.5
1636276037,1007.0625
1639386024,1005.9375
1642028461,1006.6875
1644687096,1005.9375
